# Four-way comparison of read latencies
#
# First column is attempted ops per second, then:
#   Native NFS
#   Bluesky NFS
#   Native Samba
#   Bluesky CIFS
50	0.6	0.6	1.12	0.46
100	2.41	7.59	2.01	7.3
150	2.91	6.26	2.53	7.33
200	3.23	8.41	2.96	10.09
250	4.4	14.58	3.54	13.12
300	4.28	13.14	3.55	11.38
350	4.89	12.05	5.39	13.22
400	6.27	13.81	4.7	14.88
450	8.11	15.96	4.55	14.47
500	10.22	21.02	5.32	16.12
550	12.07	22.01	6.73	18.46
600	13.39	25.23	7.89	17.12
650	18.83	27.13	9.22	20.57
700	18.22	33.35	11.29	24.76
750	18.31	34.67	10.85	25.48
800	19.03	37.45	11.14
850	20.26	37.22	13.21
900	24.35	41.63	10.58
950	24.05	45.03	11.74
1000	22.29	49.88	16.19
1050	27.05	51.77
1100	24.07	59.15
1150	24.67	57.78
1200	26.07	60.72
1250	28.53	67.99

